,city_id,city,latitude,longitude,temperature,clear_weather
0,156094680,Mont Saint Michel,48.6359541,-1.511459954959514,18.954285714285714,33.42857142857143
1,297756747,St Malo,48.649518,-2.0260409,18.232857142857142,32.285714285714285
2,297981358,Bayeux,49.2764624,-0.7024738,18.614285714285714,46.57142857142857
3,298137491,Le Havre,49.4938975,0.1079732,17.874285714285715,38.857142857142854
4,297518815,Rouen,49.4404591,1.0939658,18.74142857142857,36.57142857142857
5,297417241,Paris,48.8588897,2.3200410217200766,19.277142857142856,25.857142857142858
6,297534793,Amiens,49.8941708,2.2956951,18.958571428571428,28.571428571428573
7,297472400,Lille,50.6365654,3.0635282,18.481428571428573,27.428571428571427
8,297508568,Strasbourg,48.584614,7.7507127,19.58142857142857,15.714285714285714
9,120791766,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,17.237142857142857,9.714285714285714
10,297504747,Colmar,48.0777517,7.3579641,20.45,15.857142857142858
11,297869324,Eguisheim,48.0447968,7.3079618,20.64857142857143,16.428571428571427
12,297668227,Besancon,47.2380222,6.0243622,21.435714285714287,25.714285714285715
13,297478568,Dijon,47.3215806,5.0414701,20.099999999999998,20.285714285714285
14,298516920,Annecy,45.8992348,6.1288847,22.372857142857143,51.0
15,297639071,Grenoble,45.1875602,5.7357819,25.767142857142858,47.857142857142854
16,297681191,Lyon,45.7578137,4.8320114,23.762857142857143,58.0
17,76036307,Gorges du Verdon,43.7496562,6.3285616,20.194285714285716,46.57142857142857
18,297749145,Bormes les Mimosas,43.1506968,6.3419285,21.791428571428572,45.0
19,298072685,Cassis,43.2140359,5.5396318,22.447142857142858,43.285714285714285
20,297763730,Marseille,43.2961743,5.3699525,22.212857142857143,43.857142857142854
21,297906924,Aix en Provence,43.5298424,5.4474738,23.652857142857144,45.42857142857143
22,297768703,Avignon,43.9492493,4.8059012,25.075714285714287,48.0
23,297655586,Uzes,44.0121279,4.4196718,23.591428571428573,43.142857142857146
24,297997049,Nimes,43.8374249,4.3600687,23.887142857142855,43.714285714285715
25,298018344,Aigues Mortes,43.5658225,4.1912837,21.56,44.57142857142857
26,298011281,Saintes Maries de la mer,43.4522771,4.4287172,21.215714285714288,49.42857142857143
27,298221742,Collioure,42.52505,3.0831554,23.457142857142856,33.0
28,297466626,Carcassonne,43.2130358,2.3491069,22.415714285714284,27.571428571428573
29,297389050,Ariege,42.9455368,1.4065544156065486,21.72714285714286,47.0
30,298222566,Toulouse,43.6044622,1.4442469,24.325714285714287,41.142857142857146
31,297932490,Montauban,44.0175835,1.3549991,25.105714285714285,44.42857142857143
32,298516909,Biarritz,43.471143749999996,-1.552726590666314,23.34857142857143,25.714285714285715
33,298271847,Bayonne,43.4945144,-1.4736657,24.307142857142857,24.714285714285715
34,297653650,La Rochelle,46.1591126,-1.1520434,19.767142857142858,5.0
